"Authors","Author full names","Author(s) ID","Title","DOI","Link","Abstract"
"Harrigan P.R.; Miller M.D.; McKenna P.; Brumme Z.L.; Larder B.A.","Harrigan, P.R. (7004857656); Miller, M.D. (55492790800); McKenna, P. (57198336436); Brumme, Z.L. (6602495373); Larder, B.A. (7007005271)","7004857656; 55492790800; 57198336436; 6602495373; 7007005271","Phenotypic susceptibilities to tenofovir in a large panel of clinically derived human immunodeficiency virus type 1 isolates","10.1128/AAC.46.4.1067-1072.2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036203532&doi=10.1128%2fAAC.46.4.1067-1072.2002&partnerID=40&md5=c6924a46efa3cabe99e29e0fe1065892","Tenofovir is a nucleotide analogue human immunodeficiency virus type 1 (HIV-1) reverse transcriptase (RT) inhibitor, and its oral prodrug, tenofovir disoproxil fumarate, has recently been approved for the treatment of HIV-1 infection in the United States. The objective of this study was to characterize the in vitro susceptibility profiles of a large panel of clinically derived HIV-1 isolates for tenofovir. The distribution of tenofovir susceptibilities in over 1,000 antiretroviral-naive, HIV-1-infected individuals worldwide was determined using the Virco Antivirogram assay. In addition, phenotypic susceptibilities to tenofovir and other RT inhibitors were determined in a panel of nearly 5,000 recombinant HIV-1 clinical isolates from predominantly treatment-experienced patients analyzed as a part of routine drug resistance testing. Greater than 97.5% of isolates from treatment-naive patients had tenofovir susceptibilities <3-fold above those of the wild-type controls by the Antivirogram. The clinically derived panel of 5,000 samples exhibited a broad range of antiretroviral drug susceptibilities, including 69, 43, and 16% having >10-fold-decreased susceptibilities to at least one, two, and three antiretroviral drug classes, respectively. Greater than 88% of these 5,000 clinical isolates were within the threefold susceptibility range for tenofovir, and >99% exhibited <10-fold-reduced susceptibilities to tenofovir. Decreased susceptibility to tenofovir was not directly associated with resistance to other RT inhibitors; r2 values of log-log linear regression plots of susceptibility to tenofovir versus susceptibility to other RT inhibitors were <0.4. The results suggest that the majority of treatment-naive and treatment-experienced individuals harbor HIV that remains within the normal range of tenofovir susceptibilities and may be susceptible to tenofovir disoproxil fumarate therapy."
"Sasaki T.; Watanabe M.; Nagai Y.; Hoshi T.; Takasawa M.; Nukata M.; Taguchi A.; Kitagawa K.; Kinoshita N.; Matsumoto M.","Sasaki, Tsutomu (7407394272); Watanabe, Manabu (55686639600); Nagai, Yoji (57202769391); Hoshi, Taku (7202637647); Takasawa, Masashi (7004415889); Nukata, Masaru (18040935600); Taguchi, Akihiko (7102943845); Kitagawa, Kazuo (7202183407); Kinoshita, Naokazu (7103010719); Matsumoto, Masayasu (35355451600)","7407394272; 55686639600; 57202769391; 7202637647; 7004415889; 18040935600; 7102943845; 7202183407; 7103010719; 35355451600","Association of plasma homocysteine concentration with atherosclerotic carotid plaques and lacunar infarction","10.1161/01.STR.0000016463.01398.D0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036277860&doi=10.1161%2f01.STR.0000016463.01398.D0&partnerID=40&md5=a21b32f5f3124787145557e16e21e766","Background and Purpose - Higher plasma total homocysteine (tHcy) levels have been associated with carotid atherosclerosis and cerebral infarction in whites. However, data regarding such associations are limited for Asians. This study examined associations between tHcy levels and severity of carotid atherosclerosis in Japanese subjects. Additionally, because lacunar infarction is the most prevalent type of ischemic stroke in Japan, we also investigated its associations with tHcy levels. Methods - The subjects were 152 Japanese patients (age, 66.2±11.0 years) at our hospital. Using ultrasound, we evaluated severity of carotid atherosclerosis by plaque score, which is defined by the sum of all plaque (intima-media thickness ≥1.1 mm) height in bilateral carotid arteries. In 112 of 152 patients, the existence of lacunar infarction was evaluated on brain MRI scans. Results - A moderate linear association was found between tHcy levels and plaque score (r=0.48, P<0.0001). Moreover, tHcy level was associated with plaque score (β=0.26, P<0.001) independently of traditional atherosclerotic risk factors. In logistic regression analyses, each 1-μmol/L-higher tHcy level was associated with a 1.37-fold-higher [95% confidence interval (CI), 1.19 to 1.58] likelihood for lacunar infarction, increasing the likelihood by 1.22-fold (95% CI, 1.04 to 1.43) independently of traditional atherosclerotic risk factors. Conclusions - Higher tHcy levels appear to have associations with increased severity of carotid atherosclerotic plaques and prevalent lacunar infarction in the Japanese. Larger prospective studies are necessary to establish whether higher tHcy levels serve as a harbinger for insidious carotid and cerebrovascular diseases."
"Rätsch G.; Demiriz A.; Bennett K.P.","Rätsch, Gunnar (6603370159); Demiriz, Ayhan (55958746900); Bennett, Kristin P. (7202750503)","6603370159; 55958746900; 7202750503","Sparse regression ensembles in infinite and finite hypothesis spaces","10.1023/A:1013907905629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036643047&doi=10.1023%2fA%3a1013907905629&partnerID=40&md5=922c5ff5a26aaea80b44a8ff0fce4b08","We examine methods for constructing regression ensembles based on a linear program (LP). The ensemble regression function consists of linear combinations of base hypotheses generated by some boosting-type base learning algorithm. Unlike the classification case, for regression the set of possible hypotheses producible by the base learning algorithm may be infinite. We explicitly tackle the issue of how to define and solve ensemble regression when the hypothesis space is infinite. Our approach is based on a semi-infinite linear program that has an infinite number of constraints and a finite number of variables. We show that the regression problem is well posed for infinite hypothesis spaces in both the primal and dual spaces. Most importantly, we prove there exists an optimal solution to the infinite hypothesis space problem consisting of a finite number of hypothesis. We propose two algorithms for solving the infinite and finite hypothesis problems. One uses a column generation simplex-type algorithm and the other adopts an exponential barrier approach. Furthermore, we give sufficient conditions for the base learning algorithm and the hypothesis set to be used for infinite regression ensembles. Computational results show that these methods are extremely promising."
"Lee W.J.; Teschke K.; Kauppinen T.; Andersen A.; Jäppinen P.; Szadkowska-Stanczyk I.; Pearce N.; Persson B.; Bergeret A.; Facchini L.A.; Kishi R.; Kielkowski D.; Rix B.A.; Henneberger P.; Sunyer J.; Colin D.; Kogevinas M.; Boffetta P.","Lee, Won Jin (55641918400); Teschke, Kay (7005922208); Kauppinen, Timo (26022358800); Andersen, Aage (55415224800); Jäppinen, Paavo (7003860453); Szadkowska-Stanczyk, Irena (7003959607); Pearce, Neil (56491440700); Persson, Bodil (7403297841); Bergeret, Alain (7006802985); Facchini, Luiz Augusto (7004231120); Kishi, Reiko (7005642702); Kielkowski, Danuta (20334849200); Rix, Bo Andreassen (7004095838); Henneberger, Paul (7004885743); Sunyer, Jordi (57217208060); Colin, Didier (7006215944); Kogevinas, Manolis (7005967420); Boffetta, Paolo (7102621930)","55641918400; 7005922208; 26022358800; 55415224800; 7003860453; 7003959607; 56491440700; 7403297841; 7006802985; 7004231120; 7005642702; 20334849200; 7004095838; 7004885743; 57217208060; 7006215944; 7005967420; 7102621930","Mortality from lung cancer in workers exposed to sulfur dioxide in the pulp and paper industry","10.1289/ehp.02110991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18644374073&doi=10.1289%2fehp.02110991&partnerID=40&md5=9e3b32b30c1cefb81c943378b5b5f1fa","Our objective in this study was to evaluate the mortality of workers exposed to sulfur dioxide in the pulp and paper industry. The cohort included 57,613 workers employed for at least 1 year in the pulp and paper industry in 12 countries. We assessed exposure to SO2 at the level of mill and department, using industrial hygiene measurement data and information from company questionnaires; 40,704 workers were classified as exposed to SO2. We conducted a standardized mortality ratio (SMR) analysis based on age-specific and calendar period-specific national mortality rates. We also conducted a Poisson regression analysis to determine the dose-response relations between SO2 exposure and cancer mortality risks and to explore the effect of potential confounding factors. The SMR analysis showed a moderate deficit of all causes of death [SMR = 0.89; 95% confidence interval (CI), 0.87-0.96] among exposed workers. Lung cancer mortality was marginally increased among exposed workers (SMR = 1.08; 95% CI, 0.98-1.18). After adjustment for occupational coexposures, the lung cancer risk was increased compared with unexposed workers (rate ratio = 1.49; 95% CI, 1.14-1.96). There was a suggestion of a positive relationship between weighted cumulative SO2 exposure and lung cancer mortality (p-value of test for linear trend = 0.009 among all exposed workers; p = 0.3 among workers with high exposure). Neither duration of exposure nor time since first exposure was associated with lung cancer mortality. Mortality from non-Hodgkin lymphoma and from leukemia was increased among workers with high SO2 exposure; a dose-response relationship with cumulative SO2 exposure was suggested for non-Hodgkin lymphoma. For the other causes of death, there was no evidence of increased mortality associated with exposure to SO2. Although residual confounding may have occurred, our results suggest that occupational exposure to SO2 in the pulp and paper industry may be associated with an increased risk of lung cancer."
"Baumgardner D.; Raga G.; Peralta O.; Rosas I.; Castro T.; Kuhlbusch T.; John A.; Petzold A.","Baumgardner, Darrel (7007061674); Raga, G. (7003480967); Peralta, O. (6603941020); Rosas, I. (7003330586); Castro, T. (7004218559); Kuhlbusch, T. (7003550808); John, A. (7102501029); Petzold, A. (35227863800)","7007061674; 7003480967; 6603941020; 7003330586; 7004218559; 7003550808; 7102501029; 35227863800","Diagnosing black carbon trends in large urban areas using carbon monoxide measurements","10.1029/2001JD000626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642512229&doi=10.1029%2f2001JD000626&partnerID=40&md5=f89d3a5f1bdd04225cac1f62cbb5c897","The relationship between black carbon (BC) and carbon monoxide (CO) has been analyzed using measurements from two sites in Mexico City and five urban areas in Germany. The correlation coefficient between BC and CO is greater than 0.90 for all sites. The average slope of the linear regression line for BC versus CO is 2.2 μg mg-1 for German sites and 1.1 μg mg -1 in Mexico City. The most important factors that affect the BC to CO relationship appear to be the ratio of diesel to gasoline usage and the combustion efficiency of vehicles in a particular area. The results of this analysis suggest that CO measurements in urban areas can be used to estimate BC mass when direct measurements are not available. Copyright 2002 by the American Geophysical Union."
"Abernethy A.D.; Chang H.T.; Seidlitz L.; Evinger J.S.; Duberstein P.R.","Abernethy, Alexis D. (6701718960); Chang, H. Theresa (56133888000); Seidlitz, Larry (6603761112); Evinger, James S. (6603003712); Duberstein, Paul R. (7003420853)","6701718960; 56133888000; 6603761112; 6603003712; 7003420853","Religious coping and depression among spouses of people with lung cancer","10.1176/appi.psy.43.6.456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036842422&doi=10.1176%2fappi.psy.43.6.456&partnerID=40&md5=82aa640886d51202dbd58630d23d5e07","A cancer diagnosis frequently activates a range of coping responses in patients and their spouses and may affect their emotional well-being. The authors hypothesized a curvilinear relationship between religious coping and depression in 156 spouses of lung cancer patients. Hierarchical regression analyses were conducted with blocks of variables entered as follows: demographic characteristics; cancer stage; perceived control, self-efficacy, and social support; religious coping (linear); and religious coping squared (quadratic). There was a significant association between religious coping squared and depression. Spouses who used moderate levels of religious coping were rated as less depressed than those who used lower or higher levels."
"Böhringer D.; Reinhard T.; Spelsberg H.; Sundmacher R.","Böhringer, Daniel (6603907018); Reinhard, Thomas (56252997400); Spelsberg, Helga (6603722232); Sundmacher, Rainer (7103345023)","6603907018; 56252997400; 6603722232; 7103345023","Influencing factors on chronic endothelial cell loss characterised in a homogeneous group of patients","10.1136/bjo.86.1.35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036149080&doi=10.1136%2fbjo.86.1.35&partnerID=40&md5=199757d53efe879a86726a71ef8d46d5","Background/aim: Advanced donor age, long death to excision time interval, and factors related to organ culture can trigger unfavourable intracellular processes in the graft endothelium and contribute to chronic endothelial cell loss after penetrating keratoplasty. The aim of this study was to investigate factors influencing chronic endothelial cell loss in a homogeneous group of patients. Methods: 177 patients after first normal risk keratoplasties for keratoconus were retrospectively selected from the quality control database of our clinic. For 71 of them at least four central endothelial cell density values were documented in follow up. From these patients, only those 53 without any further intraocular procedures, without glaucoma, and without graft rejection were considered. A scatter plot of logarithmised endothelial cell density values against postoperative time was drawn for each patient. The slope of the regression line then equals the constant of decay in central endothelial cell density. The influence of donor age and storage time in organ culture on this index value of cell loss was investigated by means of linear regression analysis. Results: Mean loss of central endothelial cell density was 16.7% per year. Regression analysis revealed a statistically significant negative linear effect of both postmortem time (β = -0.324; p = 0.014) and donor age (β = -0.282; p = 0.036) and a trend for storage time in organ culture (β = -0.195; p = 0.142) in a combined linear regression model. Conclusion: Increased postmortem time and advanced donor age exert a significant negative effect on chronic endothelial cell loss. Storage time in organ culture seems to be third influencing factor. These negative influences may be reduced by compensating advanced donor age with minimised postmortem and storage time."
"Cruickshank J.; Weigel K.A.; Dentine M.R.; Kirkpatrick B.W.","Cruickshank, J. (57218659962); Weigel, K.A. (57204215827); Dentine, M.R. (6603849328); Kirkpatrick, B.W. (58084233800)","57218659962; 57204215827; 6603849328; 58084233800","Indirect prediction of herd life in Guernsey dairy cattle","10.3168/jds.S0022-0302(02)74195-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036560239&doi=10.3168%2fjds.S0022-0302%2802%2974195-7&partnerID=40&md5=0a010db2842481bf36d18c2526f42bed","Production and type data were used to investigate the relationships of these traits with herd life data in US Guernsey cows that calved from 1985 through 1990. Two definitions of herd life were used: actual days from birth to disposal (true herd life) and herd life adjusted for milk production (functional herd life). Genetic parameters were calculated with data from cows that had an opportunity to reach 84 mo of age (n = 18, 725). Linear type traits were preadjusted for stage of lactation and age at classification. True herd life was preadjusted for age at first calving and for functional herd life, within herd-year quartile ranking for milk yield. The (co)variance components for true and functional herd life, milk, fat, protein, and 15 linear type traits were estimated with multiple-trait REML in an animal model. Heritability estimates for true and functional herd life were 0.12 for both traits. Estimated genetic correlations of herd life with body size traits were from -0.14 to -0.29, with feet and leg traits were from -0.10 to 0.06, and with udder traits were from -0.09 to 0.24. These correlation parameters were used for indirect prediction of herd life from available production and type information in Guernseys."
"Van Soest A.; Das M.; Gong X.","Van Soest, Arthur (35791328700); Das, Marcel (7402050809); Gong, Xiaodong (57198474728)","35791328700; 7402050809; 57198474728","A structural labour supply model with flexible preferences","10.1016/S0304-4076(01)00128-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346724435&doi=10.1016%2fS0304-4076%2801%2900128-2&partnerID=40&md5=9357c755cf4decb8de2de8f82a3f00e8","We show how non-parametric flexibility can be attained in a structural labour supply model that can be used to analyse all sorts of (non-linear) tax and benefits reforms. The direct utility function is approximated with a series expansion. For given length of the expansion, the model is estimated by smooth simulated maximum likelihood, using Dutch data on labour supply of married females. Estimates of own and cross wage elasticities and tax reform effects suggest that a series expansion of order two is enough. Monte Carlo simulations show that the estimator performs very well, unless there is measurement error in the hours variable. © 2002 Elsevier Science B.V. All rights reserved."
"Straub R.H.; Lehle K.; Herfarth H.; Weber M.; Falk W.; Preuner J.; Schölmerich J.","Straub, Rainer H. (7203034372); Lehle, Karin (57215702852); Herfarth, Hans (26643536100); Weber, Marcus (57225686821); Falk, Werner (55137056900); Preuner, Jürgen (6603860147); Schölmerich, Jürgen (36037051500)","7203034372; 57215702852; 26643536100; 57225686821; 55137056900; 6603860147; 36037051500","Dehydroepiandrosterone in relation to other adrenal hormones during an acute inflammatory stressful disease state compared with chronic inflammatory disease: Role of interleukin-6 and tumour necrosis factor","10.1530/eje.0.1460365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036210456&doi=10.1530%2feje.0.1460365&partnerID=40&md5=b9514a7fc8eff9002635884e9ab498df","Objective: Serum levels of dehydroepiandrosterone (DHEA) and DHEA sulphate (DHEAS) and DHEA sulphate (DHEAs) are low in chronic inflammatory diseases, although the reasons are unexplained. Furthermore, the behaviour of serum levels of these hormones during an acute inflammatory stressful disease state is not well known. Subjects and methods: In this study in patients with an acute inflammatory stressful disease state (13 patients undergoing cardiothoracic surgery) and patients with chronic inflammation (61 patients with inflammatory bowel diseases (IBD)) vs 120 controls, we aimed to investigate adrenal hormone shifts looking at serum levels of DHEA in relation to other adrenal hormones. Furthermore, we tested the predictive role of serum tumour necrosis factor (TNF) and interleukin-6 (IL-6) for a change of serum levels of DHEA in relation to other adrenal hormones. Results: The molar ratio of serum levels of DHEA/androstenedione (ASD) was increased in patients with an acute inflammatory stressful disease state and was decreased in patients with chronic inflammation. The molar ratio of serum levels of DHEAS/DHEA was reduced during an acute inflammatory stressful disease state and was increased in patients with chronic inflammation. A multiple linear regression analysis revealed that elevated serum levels of TNF were associated with a high ratio of serum levels of DHEA/ASD in all groups (for IL-6 in patients with an acute inflammatory stressful disease state only), and, similarly, elevated serum levels of TNF were associated with a high ratio of serum levels of DHEAS/DHEA only in IBD (for IL-6 only in healthy subjects). Conclusions: This study indicates that changes of serum levels of DHEA in relation to serum levels of other adrenal hormones are completely different in patients with an acute inflammatory stressful disease state compared with patients with chronic inflammation. The decrease of serum levels of DHEAS and DHEA is typical for chronic inflammation and TNF and IL-6 play a predictive role for these changes."
"Linder M.; Sundberg R.","Linder, Marie (7102424720); Sundberg, Rolf (7006519023)","7102424720; 7006519023","Precision of prediction in second-order calibration, with focus on bilinear regression methods","10.1002/cem.661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036157377&doi=10.1002%2fcem.661&partnerID=40&md5=e4002440ab25f77a3aa3c2377a0aabe8","We consider calibration of hyphenated instruments with particular focus on determination of the unknown concentrations of new specimens. A hyphenated instrument generates for each specimen a two-way array of data. These are assumed to depend on the concentrations through a bilinear regression model, where each constituent is characterized by a pair of profiles to be determined in the calibration. We discuss the problem of predicting the unknown concentrations in a new specimen, after calibration. We formulate three different predictor construction methods, a 'naive' method, a least squares method, and a refined version of the latter that takes account of the calibration uncertainty. We give formulae for the uncertainty of the predictors under white noise, when calibration can be seen as precise. We refine these formulae to allow for calibration uncertainty, in particular when calibration is carried out by the bilinear least squares (BLLS) method or the singular value decomposition (SVD) method proposed by Linder and Sundberg (Chemometrics Intell. Lab. Syst. 1998; 42:159-178). By error propagation formulae and previous results on the precision of A and B we can obtain approximate standard errors for the predicted concentrations, according to each of the two estimation methods. The performance of the predictors and the precision formulae is illustrated on both real (fluorescence) and simulated data. Copyright © 2002 John Wiley & Sons, Ltd."
"Neville C.E.; Robson P.J.; Murray L.J.; Strain J.J.; Twisk J.; Gallagher A.M.; McGuinness M.; Cran G.W.; Ralston S.H.; Boreham C.A.G.","Neville, C.E. (7006771742); Robson, P.J. (35433006800); Murray, L.J. (7202252664); Strain, J.J. (35416379600); Twisk, J. (7006826974); Gallagher, A.M. (35430725300); McGuinness, M. (7005256075); Cran, G.W. (57193396320); Ralston, S.H. (7102615949); Boreham, C.A.G. (7004472250)","7006771742; 35433006800; 7202252664; 35416379600; 7006826974; 35430725300; 7005256075; 57193396320; 7102615949; 7004472250","The effect of nutrient intake on bone mineral status in young adults: The Northern Ireland young hearts project","10.1007/s00223-001-1023-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036480091&doi=10.1007%2fs00223-001-1023-0&partnerID=40&md5=ed33e9eabd4d7bb176ac75eee8848e84","Optimizing peak bone mass in early life may reduce osteoporosis risk in later life. Such optimization may be partly dependent upon diet. In the present study, nutrient intakes and selected lifestyle parameters were assessed in adolescent subjects (238 males, 205 females; aged 15 y) and again, in the same subjects, on one occasion in young adulthood (aged between 20 and 25 y). The extent of the relationships between these parameters and bone mineral density (BMD), dual energy x-ray absorptiometry (DXA), lumbar spine (L2-L4), and femoral neck measured concurrently with diet in young adulthood only, was assessed. Adjusted linear regression models were constructed. Variables included a measure of pubertal status (at age 15 y), age (at young adulthood), height, weight, physical activity, smoking, and mean daily intakes of energy, calcium, protein, vitamin D, phosphorus, total fat, and alcohol. In both sexes, body weight at adolescence and young adulthood was the only factor consistently positively associated with BMD at both measurement sites. Effects of nutrient intake on BMD were inconsistent. Vitamin D and calcium intakes reported by female adolescents showed significant positive relationships with BMD measured in young adulthood (vitamin D measured at the lumbar spine; calcium measured at the femoral neck). The positive relationship between vitamin D and BMD remained significant at young adulthood, but at the femoral neck rather than at the lumbar spine. Also in females, intakes of phosphorus and the calcium:phosphorus ratio (Ca:P) at adolescence were strongly negatively related to femoral neck BMD measured at young adulthood. In males, however, Ca:P reported at young adulthood had a significant positive relationship with lumbar spine BMD, whereas Ca:protein was negatively associated with BMD at the lumbar spine. Intakes of Ca reported by adolescent males also had a strong negative effect on lumbar spine BMD measured at young adulthood."
"Balzter H.; Baker J.R.; Hallikainen M.; Tomppo E.","Balzter, H. (6603839405); Baker, J.R. (55732868800); Hallikainen, M. (35579880600); Tomppo, E. (6701404111)","6603839405; 55732868800; 35579880600; 6701404111","Retrieval of timber volume and snow water equivalent over a Finnish boreal forest from airborne polarimetric Synthetic Aperture Radar","10.1080/01431160110076199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037143969&doi=10.1080%2f01431160110076199&partnerID=40&md5=29f1d7a81b0061658eefa8e7cafd2bff","Airborne polarimetric Synthetic Aperture Radar (SAR) is used for estimating the stem volume of a Finnish boreal forest by comparing different empirical models. Its capability for retrieval of snow water equivalent is then explored. Fully polarimetric L-and C-band data were acquired over a Finnish test site in March and May 1995. The information content was explored qualitatively by inspecting polarimetric colour composites, and by applying decomposition algorithms to the polarimetric covariance matrices at individual frequencies. Three families of quantitative models were fitted to estimate stem volume: (1) F1P1 models, using a single frequency and a single polarization; (2) F2P1 models, using the difference between HV polarization at C- and L-band related to stem volume; (3) F1P4 models, based on a single frequency and the full polarimetric information, selected by stepwise multiple regression with stem volume. Stem volume estimates from SAR are compared with digital stem volume data by the Finnish Forest Research Institute. Prior information about the stem volume distribution addresses the saturation problem of the microwave response. The L-band F1P4 models in March and May 1995 have the smallest rms errors, around 22 m3 ha-1. Three multiple regression models to retrieve snow water equivalent from back-scatter are presented: (1) EU model, an explorative, uncorrected multiple regression model; (2) EC model, an explorative, stem volume corrected multiple regression model; (3) CC model, a statistically conservative, stem volume corrected multiple regression model. The accuracy of snow water equivalent estimates was improved significantly by a simple linear correction for stem volume. The statistically conservative CC model showed that only L-band in HH polarization explained a significant (p<0.05) proportion of snow water equivalent (r2=0.51). The explorative EC model resulted in r2=0.68 (p>0.05). Conclusions are that (1) decomposition algorithms of the polarimetric covariance matrix result in information on scattering mechanisms in the vegetation canopy and on the ground, so being potentially of great value for land cover mapping; (2) satellite polarimetric SARs, for example those to be flown on Envisat and ALOS, will be able to estimate stem volume on continental and global scales; and (3) L-band SAR has a potential for snow cover mapping and runoff prediction."
"Rosso A.M.; Ferrarotti S.A.; Krymkiewicz N.; Nudel C.","Rosso, Adriana M. (18034829600); Ferrarotti, Susana A. (6507279092); Krymkiewicz, Norberto (6507520921); Nudel, Clara (6602513169)","18034829600; 6507279092; 6507520921; 6602513169","Optimisation of batch culture conditions for cyclodextrin glucanotransferase production from Bacillus circulans DF 9R","10.1186/1475-2859-1-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942598307&doi=10.1186%2f1475-2859-1-3&partnerID=40&md5=d3a8d367e192917f336504797f1356f4","Background: The extracellular enzyme cyclodextrin glucanotransferase (CGTase) synthesizes cyclic malto-oligosaccharides called cyclodextrins (CDs) from starch and related α-1,4-glucans. CGTases are produced by a variety of bacteria, mainly Bacillus species, by submerged culture in complex medium. CGTases differ in the amount and types of CDs produced. In addition, CGTase production is highly dependent on the strain, medium composition and culture conditions. Therefore we undertook this study with a newly isolated strain of Bacillus circulans. Results: CGTase activity produced from Bacillus circulans DF 9R was optimised in shake flasks using a combination of conventional sequential techniques and statistical experimental design. Effects of nutrients, including several carbon, nitrogen and mineral sources, were assayed. The selected minimal medium consisted of 1.5 % cassava starch, 0.4 % ammonium sulphate, 0.1 M phosphate buffer, 0.002 % MgSO4 and 0.002 % FeSO4. The optimal concentrations of carbon and nitrogen sources were determined using a central composite design. Maximum CGTase activity obtained in supernatants was 5.8 U/mL in 48 h of incubation. Optimal conditions for enzyme production also included an initial pH of 8.3 and 37°C as the incubation temperature. Cell growth and CGTase production profile were not linked to each other, suggesting that enzyme production/secretion is not growth-associated but mainly a late-log phase event. Conclusion: We have screened conditions for optimal CGTase production. The selected minimal medium contained starch, ammonium, Mg2+ and Fe2+ as essential nutrients. As an additional advantage, this medium does not require complex nitrogen sources with varying and unknown composition. © 2002 Rosso et al; licensee BioMed Central Ltd."
"Smith M.; Carber L.","Smith, Monica (36133926800); Carber, Lynne (8788404700)","36133926800; 8788404700","Chiropractic health care in Health Professional Shortage Areas in the United States","10.2105/AJPH.92.12.2001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036892453&doi=10.2105%2fAJPH.92.12.2001&partnerID=40&md5=1421181f0c119202c5462f0fff2177ef","Objectives. We compared chiropractic practice volume in areas of high versus areas of low or no shortages of primary care providers. Methods. Using data from a cross-sectional survey of US chiropractors and data from the Bureau of Health Professions' Area Resource File, we conducted multiple linear and logistic regression modeling of the effects of rural or Health Professional Shortage Area location on chiropractic practice volume and wait times. Results. Chiropractors in rural and high-shortage areas have busier, higher-volume practices than do those in other locales (after control for other chiropractors in the same market service area). Conclusions. Chiropractic providers render a substantial amount of care to underserved and rural populations. Health policy planners should consider the full complement of providers available to improve access to care."
"Liddell F.D.K.; Armstrong B.G.","Liddell, F.D.K. (7004048209); Armstrong, B.G. (7202333049)","7004048209; 7202333049","The combination of effects on lung cancer of cigarette smoking and exposure in Quebec chrysotile miners and millers","10.1093/annhyg/mef008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036360265&doi=10.1093%2fannhyg%2fmef008&partnerID=40&md5=2d6af3fa26f014d4c3f0d0ebe2728367","Although it is well known that both cigarette smoke and microscopic airborne asbestos fibres can cause lung cancer, evidence as to how these two agents combine is nebulous. Many workers have believed in the multiplicative theory, whereby asbestos increases the risk in proportion to the risk from other causes. However, evidence against this theory is mounting: a recent review concluded that the multiplicative hypothesis was untenable, and that the relative risk of lung cancer from asbestos exposure was about twice as high in non-smokers as in smokers, a finding largely independent of type of asbestos fibre. The criteria for entry to the current study were met by 7279 men in the 1891-1920 birth cohort of Quebec chrysotile miners and millers. The data consisted of date of birth, place of employment, smoking habit, asbestos exposure accumulated to age 55 and, for those 5527 who died between 1950 and June 1992, date and cause of death; 533 of the deaths were from lung cancer. For the principal analyses, ex-smokers were excluded from the study cohort, which comprised 5888 men, of whom 473 died of lung cancer. The conventional form of analysis is simply of the double dichotomy: non-smokers of cigarettes, 'unexposed' and exposed; all others, 'unexposed' and exposed. The respective standardized lung cancer mortality ratios (SMRs) were 0.29 and 0.62; and 1.37 and 1.72. Thus, the differences in relative risk, due to exposure, were closely similar, 0.33 and 0.35. On the other hand, the effects of asbestos measured by the corresponding ratios, 2.12 and 1.25, did differ, being 1.7 times as high in non-smokers as in others. The principal analysis was much more penetrating: the method was to fit models to a 'disaggregated' 6 × 10 array, by smoking habit (excluding exsmokers) and asbestos exposure, of lung cancer SMRs. Both linear and log-linear models were fitted: the former included the additive and linear-multiplicative; the latter embraced the more conventional multiplicative form. The additive model fitted much the best. The fit of each multiplicative model was improved by the introduction of an interaction term that implied a less than multiplicative relationship. Thus smoking and exposure to chrysotile appear to have acted independently in causing lung cancer, with 10 cigarettes a day having an effect roughly equivalent to exposure amounting to 700 million particles per cubic foot x years. The refutation of the multiplicative hypothesis in these data reinforces its inapplicability in general; but the additive hypothesis is not generally applicable either. Indeed, there seems to be no good reason to believe that interactions conform to any simple theory. The implications are important."
